first_seen_utc,ioc_id,ioc_value,ioc_type,threat_type,fk_malware,malware_alias,malware_printable,last_seen_utc,confidence_level,reference,tags,anonymous,reporter
2024-06-05 15:49:13, 1279232, 0658d6a4b49d22e31b71d02bd107ff7c3f025d0c, sha1_hash, payload, win.sigloader, None, SigLoader, , 95, None, None, 0, Grim
2024-06-05 15:49:10, 1279229, e08d36bcf7f37bca2990d81beec8cbaf0c13bd3c, sha1_hash, payload, win.sigloader, None, SigLoader, , 95, None, None, 0, Grim
2024-06-05 15:49:07, 1279226, c70609efae644cdaede26edeb34215ba67a3ec94, sha1_hash, payload, win.sigloader, None, SigLoader, , 95, None, None, 0, Grim
2024-06-05 15:49:03, 1279223, b851fda5941039c70879c1c5aaafe7ee98f1d4f6, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:00, 1279220, 06c15d99ffae34bcda3c59680ac9b83d4a62c3bf, sha1_hash, payload, win.asyncrat, None, AsyncRAT, , 95, None, None, 0, Grim
2024-06-05 15:48:57, 1279217, 6bb3e0a8faf26648a9fb34a8d2695505ca6a1a1f, sha1_hash, payload, win.redline_stealer, RECORDSTEALER, RedLine Stealer, , 95, None, None, 0, Grim
2024-06-05 15:48:54, 1279214, f0740402208458b651403b7542a08fddd37fe7d2, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-05 15:48:51, 1279211, 218588c943f74d5ac87d5100e83cae0de7879deb, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:48:47, 1279208, b2ffa56d82455ee07ae4614619fb98a98a6f1a76, sha1_hash, payload, win.asyncrat, None, AsyncRAT, , 95, None, None, 0, Grim
2024-06-05 15:48:44, 1279205, 271801bf76efe643f2ed404ea02c0fd7af6a3f68, sha1_hash, payload, win.asyncrat, None, AsyncRAT, , 95, None, None, 0, Grim
2024-06-05 15:48:40, 1279202, fbbb9ab5a95b4947da0a5c03896d11e570c0b297, sha1_hash, payload, win.gcleaner, None, GCleaner, , 95, None, None, 0, Grim
2024-06-14 13:58:51, 1284864, 61fddca4f77ef940d6159275696db8d2ed68d3e7, sha1_hash, payload, win.krakenkeylogger, None, KrakenKeylogger, , 95, None, None, 0, Grim
2024-06-14 13:58:47, 1284861, a1ecdc14ab607517fcca51a0be7b4ebfd33c6150, sha1_hash, payload, win.krakenkeylogger, None, KrakenKeylogger, , 95, None, None, 0, Grim
2024-06-14 13:58:44, 1284858, 7e5ebd65720889e39eb0df2e1e062b4cc5f17aab, sha1_hash, payload, win.easystealer, None, Easy Stealer, , 95, None, None, 0, Grim
2024-06-14 13:58:40, 1284855, e590138faf2e66f7f46583c51ffb62c264732009, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
2024-06-14 13:58:37, 1284852, 6f06919667d8d90237947017e08dc3a0573992bf, sha1_hash, payload, win.socks5_systemz, None, Socks5 Systemz, , 95, None, None, 0, Grim
